1525870302.93;{"value":"Result [3,19,23,57,69,437,1151,1311,3453,21869,26473,65607,79419,502987]"}
1525870303.05;{"value":"Result [2,5,10,47699,95398,238495]"}
1525870303.11;{"value":"Result [3,781301]"}
1525870303.34;{"value":"Result [7,49,137279,960953]"}
1525870303.35;{"value":"Result [2,4,348307,696614]"}
1525870303.46;{"value":"Result [3,9,17,27,51,153,459,19469,58407,175221,330973,525663,992919,2978757]"}
1525870303.58;{"value":"Result [19,41,779,11621,220799,476461]"}
1525870303.6;{"value":"Result [2,3,6,617,1019,1234,1851,2038,3057,3702,6114,628723,1257446,1886169]"}
1525870303.66;{"value":"Result [7,19,133,14221,99547,270199]"}
1525870303.71;{"value":"Result [2,3,6,13,26,39,78,79,158,237,474,1027,1171,2054,2342,3081,3513,6162,7026,15223,30446,45669,91338,92509,185018,277527,555054,1202617,2405234,3607851]"}
1525870303.74;{"value":"Result [3,389,1167,4007,12021,1558723]"}
1525870303.76;{"value":"Result [2,4,7,11,14,22,28,44,77,154,308,1303,2606,5212,9121,14333,18242,28666,36484,57332,100331,200662]"}
1525870303.91;{"value":"Result [2,4,8,29,58,116,232,10939,21878,43756,87512,317231,634462,1268924]"}
1525870303.95;{"value":"Result [2,2524187]"}
1525870303.96;{"value":"Result [3,5,15,369991,1109973,1849955]"}
1525870304.03;{"value":"Result [2,11,22,85909,171818,944999]"}
1525870304.11;{"value":"Result [2,3,4,5,6,8,9,10,12,15,18,20,24,25,30,36,40,45,50,60,72,75,90,100,120,150,180,200,225,300,360,389,450,600,778,900,1167,1556,1800,1945,2334,3112,3501,3890,4668,5835,7002,7780,9336,9725,11670,14004,15560,17505,19450,23340,28008,29175,35010,38900,46680,58350,70020,77800,87525,116700,140040,175050,233400,350100]"}
1525870304.12;{"value":"Result [2,2724661]"}
1525870304.12;{"value":"Result [2,3,4,6,11,12,22,33,44,66,121,132,139,242,278,363,417,484,556,726,834,1331,1452,1529,1668,2662,3058,3993,4587,5324,6116,7986,9174,15972,16819,18348,33638,50457,67276,100914,185009,201828,370018,555027,740036,1110054]"}
1525870304.28;{"value":"Result [2,4,67,134,268,17317,34634,69268,1160239,2320478]"}
1525870304.28;{"value":"Result [947,9749]"}
1525870304.34;{"value":"Result [2,7,14,29,49,58,98,193,203,343,386,406,686,1351,1421,2702,2842,5597,9457,9947,11194,18914,19894,39179,66199,78358,132398,274253,548506,1919771]"}
1525870304.38;{"value":"Result [2,3,6,191,382,573,1146,1229,2458,3687,7374,234739,469478,704217]"}
1525870304.51;{"value":"Result [2,4,7,8,14,16,28,56,112,21961,43922,87844,153727,175688,307454,351376,614908,1229816]"}
1525870304.55;{"value":"Result [2,1308691]"}
1525870304.58;{"value":"Result [2,4,587,1174,2081,2348,4162,8324,1221547,2443094]"}
1525870304.61;{"value":"Result [19,263,1669,4997,31711,438947]"}
1525870304.78;{"value":"Result [3,7,21,47,141,329,987,3593,10779,25151,75453,168871,506613,1182097]"}
1525870304.81;{"value":"Result [2,4,7,8,14,16,19,28,32,38,56,64,76,112,133,152,224,266,304,448,532,608,1064,1117,1216,2128,2234,4256,4468,7819,8512,8936,15638,17872,21223,31276,35744,42446,62552,71488,84892,125104,148561,169784,250208,297122,339568,500416,594244,679136,1188488,1358272,2376976,4753952]"}
1525870304.89;{"value":"Result [2,4,1101871,2203742]"}
1525870304.95;{"value":"Result [1237,4751]"}
1525870304.98;{"value":"Result [17,97,1649,4861,82637,471517]"}
1525870305.15;{"value":"Result [61,110597]"}
1525870305.24;{"value":"Result [2,29,58,81611,163222,2366719]"}
1525870305.24;{"value":"Result [2,61,122,56989,113978,3476329]"}
1525870305.26;{"value":"Result [5,89,445,14029,70145,1248581]"}
1525870305.45;{"value":"Result [2,4,47,94,188,15889,31778,63556,746783,1493566]"}
