1525868138.84;{"value":"Result [2,3,5,6,7,9,10,14,15,18,21,30,35,42,45,49,63,70,90,98,105,126,147,210,245,281,294,315,441,490,562,630,735,843,882,1405,1470,1686,1967,2205,2529,2810,3934,4215,4410,5058,5901,8430,9835,11802,12645,13769,17703,19670,25290,27538,29505,35406,41307,59010,68845,82614,88515,123921,137690,177030,206535,247842,413070,619605]"}
1525868139.02;{"value":"Result []"}
1525868139.56;{"value":"Result [2,3,6,9,18,443,886,971,1329,1942,2658,2913,3987,5826,7974,8739,17478,430153,860306,1290459,2580918,3871377]"}
1525868140.02;{"value":"Result [5,839,1873,4195,9365,1571447]"}
1525868140.52;{"value":"Result [2,3,6,9,18,27,54,81,162,43853,87706,131559,263118,394677,789354,1184031,2368062,3552093]"}
1525868140.89;{"value":"Result [3,5,9,15,45,120247,360741,601235,1082223,1803705]"}
1525868141.15;{"value":"Result [2,3,6,9,18,27,37,54,74,111,222,333,666,999,1867,1998,3734,5601,11202,16803,33606,50409,69079,100818,138158,207237,414474,621711,1243422,1865133]"}
1525868141.36;{"value":"Result [2,3,4,6,12,431,607,862,1214,1293,1724,1821,2428,2586,3642,5172,7284,261617,523234,784851,1046468,1569702]"}
1525868142.06;{"value":"Result [2,4,5,10,19,20,25,38,50,76,95,100,125,190,250,380,475,500,950,1019,1900,2038,2375,4076,4750,5095,9500,10190,19361,20380,25475,38722,50950,77444,96805,101900,127375,193610,254750,387220,484025,509500,968050,1936100,2420125,4840250]"}
1525868142.1;{"value":"Result [2,4,347,389,694,778,1388,1556,134983,269966]"}
1525868142.14;{"value":"Result [3,9,11,33,53,99,101,159,303,477,583,909,1111,1749,3333,5247,5353,9999,16059,48177,58883,176649]"}
1525868142.39;{"value":"Result [2,4,8,16,31,32,43,62,64,86,124,172,248,344,496,688,992,1333,1376,1849,1984,2666,2752,3698,5332,7396,10664,14792,21328,29584,42656,57319,59168,85312,114638,118336,229276,458552,917104,1834208]"}
1525868142.48;{"value":"Result [2,3,4,6,7,12,14,21,28,31,42,62,84,93,124,186,217,372,421,434,651,842,868,1263,1302,1684,2526,2604,2947,5052,5894,8841,11788,13051,17682,26102,35364,39153,52204,78306,91357,156612,182714,274071,365428,548142]"}
1525868142.48;{"value":"Result [2,4,10333,20666]"}
1525868142.75;{"value":"Result [167,28949]"}
1525868143.13;{"value":"Result []"}
1525868143.29;{"value":"Result [2,4,41,82,164,353,706,1412,1681,3362,6724,14473,28946,57892,593393,1186786]"}
1525868143.6;{"value":"Result [2,571,1142,4409,8818,2517539]"}
1525868143.85;{"value":"Result [797,5521]"}
1525868144.19;{"value":"Result [2,3,6,9,18,271637,543274,814911,1629822,2444733]"}
1525868144.65;{"value":"Result [3,23,69,106441,319323,2448143]"}
1525868145.17;{"value":"Result [2,7,14,569323,1138646,3985261]"}
1525868145.67;{"value":"Result [23,409,947,9407,21781,387323]"}
1525868145.95;{"value":"Result [2,3,6,269,538,807,1614,2617,5234,7851,15702,703973,1407946,2111919]"}
1525868146.52;{"value":"Result [3,5,9,11,15,27,33,45,55,99,135,165,297,495,1485,5683,17049,28415,51147,62513,85245,153441,187539,255735,312565,562617,767205,937695,1687851,2813085]"}
