blocksize,n,cpu_swap,cpu_tot,gpu_swap,2^n,gpu_tot,gpu_delta,proc_swap,proc_tot
16,268435456,822,1327,774.899963,28,1592.852417,817.952454,94.2700684914842,120.034093217784
32,1,0,0,0.026304,0,0.222464,0.19616,Inf,Inf
32,2,0,0,0.016640,1,0.185024,0.168384,Inf,Inf
32,4,0,0,0.014720,2,0.154112,0.139392,Inf,Inf
32,8,0,0,0.014208,3,0.181440,0.167232,Inf,Inf
32,16,0,0,0.014336,4,0.177856,0.16352,Inf,Inf
32,32,0,0,0.014656,5,0.158048,0.143392,Inf,Inf
32,64,0,0,0.014592,6,0.158752,0.14416,Inf,Inf
32,128,0,0,0.014688,7,0.157952,0.143264,Inf,Inf
32,256,0,0,0.014176,8,0.157536,0.14336,Inf,Inf
32,512,0,0,0.023808,9,0.180256,0.156448,Inf,Inf
32,1024,0,0,0.014528,10,0.161664,0.147136,Inf,Inf
32,2048,0,0,0.015968,11,0.166720,0.150752,Inf,Inf
32,4096,0,0,0.017696,12,0.182112,0.164416,Inf,Inf
32,8192,0,0,0.022496,13,0.187392,0.164896,Inf,Inf
32,16384,0,0,0.037312,14,0.231520,0.194208,Inf,Inf
32,32768,0,0,0.066176,15,0.350176,0.284,Inf,Inf
32,65536,0,0,0.122432,16,0.471936,0.349504,Inf,Inf
32,131072,0,0,0.233632,17,0.789696,0.556064,Inf,Inf
32,262144,0,1,0.458528,18,1.472128,1.0136,Inf,147.2128
32,524288,1,2,0.924256,19,2.858368,1.934112,92.4256,142.9184
32,1048576,3,5,1.948992,20,5.999584,4.050592,64.9664,119.99168
32,2097152,6,10,3.675776,21,10.638464,6.962688,61.2629333333333,106.38464
32,4194304,12,21,8.781536,22,22.679840,13.898304,73.1794666666667,107.999238095238
32,8388608,25,42,16.280865,23,43.810944,27.530079,65.12346,104.311771428571
32,16777216,52,84,29.393312,24,82.480515,53.087203,56.5256,98.1910892857143
32,33554432,104,168,59.686562,25,164.604218,104.917656,57.390925,97.9787011904762
32,67108864,207,333,107.966850,26,313.733124,205.766274,52.1578985507246,94.2141513513513
32,134217728,413,665,193.956741,27,604.857605,410.900864,46.962891283293,90.9560308270677
32,268435456,823,1329,386.880005,28,1209.285767,822.405762,47.0085060753341,90.9921570353649
48,1,0,0,0.024352,0,0.203904,0.179552,Inf,Inf
48,2,0,0,0.015008,1,0.168512,0.153504,Inf,Inf
48,4,0,0,0.014016,2,0.162432,0.148416,Inf,Inf
48,8,0,0,0.014208,3,0.160384,0.146176,Inf,Inf
48,16,0,0,0.014112,4,0.236672,0.22256,Inf,Inf
48,32,0,0,0.014560,5,0.162560,0.148,Inf,Inf
48,64,0,0,0.014112,6,0.160960,0.146848,Inf,Inf
48,128,0,0,0.014624,7,0.187328,0.172704,Inf,Inf
48,256,0,0,0.014656,8,0.164448,0.149792,Inf,Inf
48,512,0,0,0.014976,9,0.160960,0.145984,Inf,Inf
48,1024,0,0,0.014848,10,0.162624,0.147776,Inf,Inf
48,2048,0,0,0.015232,11,0.167040,0.151808,Inf,Inf
48,4096,0,0,0.016096,12,0.175808,0.159712,Inf,Inf
48,8192,0,0,0.016160,13,0.182944,0.166784,Inf,Inf
48,16384,0,0,0.022400,14,0.216576,0.194176,Inf,Inf
48,32768,0,0,0.037568,15,0.280800,0.243232,Inf,Inf
48,65536,0,0,0.067936,16,0.238176,0.17024,Inf,Inf
48,131072,0,0,0.123136,17,0.680448,0.557312,Inf,Inf
48,262144,0,1,0.236832,18,1.290016,1.053184,Inf,129.0016
48,524288,1,2,0.470592,19,2.380192,1.9096,47.0592,119.0096
48,1048576,3,5,0.933216,20,4.728096,3.79488,31.1072,94.56192
48,2097152,6,10,1.853792,21,8.841728,6.987936,30.8965333333333,88.41728
48,4194304,13,22,3.697664,22,17.433249,13.735585,28.4435692307692,79.2420409090909
48,8388608,25,42,8.022368,23,35.602783,27.580415,32.089472,84.768530952381
48,16777216,53,84,14.867776,24,68.187134,53.319358,28.0524075471698,81.1751595238095
48,33554432,103,166,29.551424,25,132.463577,102.912153,28.6907029126214,79.7973355421687
48,67108864,205,331,59.075008,26,264.489380,205.414372,28.8170770731707,79.9061570996979
48,134217728,410,663,101.647873,27,511.711060,410.063187,24.7921641463415,77.1811553544495
48,268435456,821,1325,195.260696,28,1012.969238,817.708542,23.7832760048721,76.4505085283019
64,1,0,0,0.030528,0,0.271072,0.240544,Inf,Inf
64,2,0,0,0.157792,1,0.325760,0.167968,Inf,Inf
64,4,0,0,0.014368,2,0.164512,0.150144,Inf,Inf
64,8,0,0,0.016064,3,0.189952,0.173888,Inf,Inf
64,16,0,0,0.014048,4,0.564256,0.550208,Inf,Inf
64,32,0,0,0.016672,5,0.169472,0.1528,Inf,Inf
64,64,0,0,0.015424,6,0.155520,0.140096,Inf,Inf
64,128,0,0,0.015296,7,0.150720,0.135424,Inf,Inf
64,256,0,0,0.014816,8,0.149440,0.134624,Inf,Inf
64,512,0,0,0.014048,9,0.150624,0.136576,Inf,Inf
64,1024,0,0,0.014336,10,0.151456,0.13712,Inf,Inf
64,2048,0,0,0.014976,11,0.155552,0.140576,Inf,Inf
64,4096,0,0,0.016608,12,0.164320,0.147712,Inf,Inf
64,8192,0,0,0.018880,13,0.183712,0.164832,Inf,Inf
64,16384,0,0,0.027776,14,0.221888,0.194112,Inf,Inf
64,32768,0,0,0.047616,15,0.303904,0.256288,Inf,Inf
64,65536,0,0,0.084352,16,0.433792,0.34944,Inf,Inf
64,131072,0,0,0.158464,17,0.710656,0.552192,Inf,Inf
64,262144,0,1,0.308576,18,1.361824,1.053248,Inf,136.1824
64,524288,1,2,0.611680,19,2.511168,1.899488,61.168,125.5584
64,1048576,3,5,1.213408,20,4.807776,3.594368,40.4469333333333,96.15552
64,2097152,6,10,2.416928,21,9.344544,6.927616,40.2821333333333,93.44544
64,4194304,12,21,6.361856,22,19.720287,13.358431,53.0154666666667,93.9061285714286
64,8388608,25,41,10.310720,23,36.748512,26.437792,41.24288,89.6305170731707
64,16777216,51,82,19.302591,24,71.741600,52.439009,37.8482176470588,87.489756097561
64,33554432,104,168,38.599712,25,143.883652,105.28394,37.1151076923077,85.645030952381
64,67108864,207,335,70.304253,26,277.131866,206.827613,33.9634072463768,82.7259301492538
64,134217728,412,665,131.725540,27,541.917847,410.192307,31.9722184466019,81.4914055639098
64,268435456,832,1344,253.048996,28,1070.998413,817.949417,30.4145427884615,79.6873819196429
128,2,0,0,0.017248,1,0.207552,0.190304,Inf,Inf
128,4,0,0,0.016160,2,0.199040,0.18288,Inf,Inf
128,8,0,0,0.016160,3,0.195264,0.179104,Inf,Inf
128,16,0,0,0.016000,4,0.193728,0.177728,Inf,Inf
128,32,0,0,0.016512,5,0.194656,0.178144,Inf,Inf
128,64,0,0,0.015776,6,0.195552,0.179776,Inf,Inf
128,128,0,0,0.016768,7,0.194880,0.178112,Inf,Inf
128,256,0,0,0.016288,8,0.195200,0.178912,Inf,Inf
128,512,0,0,0.016256,9,0.197152,0.180896,Inf,Inf
128,1024,0,0,0.015904,10,0.199072,0.183168,Inf,Inf
128,2048,0,0,0.017600,11,0.204096,0.186496,Inf,Inf
128,4096,0,0,0.018336,12,0.214816,0.19648,Inf,Inf
128,8192,0,0,0.019488,13,0.239008,0.21952,Inf,Inf
128,16384,0,0,0.022496,14,0.230880,0.208384,Inf,Inf
128,32768,0,0,0.037728,15,0.297472,0.259744,Inf,Inf
128,65536,0,0,0.065792,16,0.437600,0.371808,Inf,Inf
128,131072,0,0,0.122912,17,0.674944,0.552032,Inf,Inf
128,262144,0,1,0.238368,18,1.302016,1.063648,Inf,130.2016
128,524288,1,2,0.466976,19,2.568128,2.101152,46.6976,128.4064
128,1048576,3,5,0.915232,20,4.718944,3.803712,30.5077333333333,94.37888
128,2097152,6,11,1.818912,21,8.777664,6.958752,30.3152,79.7969454545455
128,4194304,12,21,5.163584,22,18.596512,13.432928,43.0298666666667,88.5548190476191
128,8388608,26,41,7.805344,23,34.176674,26.37133,30.0205538461539,83.3577414634146
128,16777216,51,83,14.505632,24,67.594078,53.088446,28.4424156862745,81.4386481927711
128,33554432,103,166,28.994144,25,131.901794,102.90765,28.149654368932,79.4589120481928
128,67108864,205,333,58.011265,26,263.177185,205.16592,28.2981780487805,79.0321876876877
128,134217728,410,663,97.118210,27,506.298584,409.180374,23.6873682926829,76.3647939668175
128,268435456,821,1324,190.015869,28,1008.206482,818.190613,23.1444420219245,76.1485258308157
