platform;device;work_size_x;work_size_y;ms_exec1;ms_overhead1;ms_exec2;ms_overhead2;ms_exec3;ms_overhead3;ms_exec4;ms_overhead4;ms_exec5;ms_overhead5
0;2;1;1;9.24424e+08;1000;9.08805e+08;1000;9.08806e+08;1000;9.08806e+08;1000;9.08804e+08;1000
0;2;1;2;4.54494e+08;1000;4.54494e+08;1000;4.54493e+08;1000;4.54494e+08;1000;4.54493e+08;1000
0;2;1;3;3.02755e+08;1000;3.02756e+08;1000;3.02755e+08;1000;3.02754e+08;1000;3.02756e+08;1000
0;2;1;4;2.27306e+08;1000;2.27306e+08;1000;2.27299e+08;1000;2.27303e+08;1000;2.27307e+08;1000
0;2;1;5;1.81176e+08;1000;1.81174e+08;1000;1.81175e+08;1000;1.81177e+08;1000;1.81181e+08;1000
0;2;1;6;1.51001e+08;1000;1.51001e+08;1000;1.51002e+08;1000;1.51002e+08;1000;1.50999e+08;1000
0;2;1;7;1.29704e+08;1000;1.29704e+08;1000;1.29705e+08;1000;1.29706e+08;1000;1.29706e+08;1000
0;2;1;8;1.13717e+08;1000;1.13718e+08;1000;1.13715e+08;1000;1.13718e+08;1000;1.13718e+08;1000
0;2;1;9;1.0042e+08;1000;1.00417e+08;1000;1.00416e+08;1000;1.00416e+08;1000;1.00419e+08;1000
0;2;1;10;9.06578e+07;1000;9.06574e+07;1000;9.06544e+07;1000;9.06584e+07;1000;9.06558e+07;1000
0;2;1;11;8.26694e+07;1000;8.26746e+07;1000;8.26738e+07;1000;8.26709e+07;1000;8.26738e+07;1000
0;2;1;12;7.55661e+07;1000;7.55635e+07;1000;7.55674e+07;1000;7.55629e+07;1000;7.55656e+07;1000
0;2;1;13;6.93514e+07;1000;6.9352e+07;1000;6.93502e+07;1000;6.93541e+07;1000;6.93566e+07;1000
0;2;1;14;6.49168e+07;1000;6.49168e+07;1000;6.49211e+07;1000;6.49205e+07;1000;6.4921e+07;1000
0;2;1;15;6.04816e+07;1000;6.04795e+07;1000;6.04827e+07;1000;6.04837e+07;1000;6.04798e+07;1000
0;2;1;16;5.69229e+07;1000;5.69211e+07;1000;5.69205e+07;1000;5.69222e+07;1000;5.69245e+07;1000
0;2;1;17;5.33776e+07;1000;5.33803e+07;1000;5.33786e+07;1000;5.33771e+07;1000;5.3377e+07;1000
0;2;1;18;4.9839e+07;1000;4.98422e+07;1000;4.98413e+07;1000;4.98406e+07;1000;4.98394e+07;1000
0;2;1;19;4.71765e+07;1000;4.71754e+07;1000;4.7175e+07;1000;4.71779e+07;1000;4.71741e+07;1000
0;2;1;20;4.53952e+07;1000;4.53974e+07;1000;4.53981e+07;1000;4.54014e+07;1000;4.53962e+07;1000
0;2;1;21;4.27302e+07;1000;4.2728e+07;1000;4.27454e+07;1000;4.27286e+07;1000;4.27429e+07;1000
0;2;1;22;4.09544e+07;1000;4.09571e+07;1000;4.09546e+07;1000;4.09557e+07;1000;4.09507e+07;1000
0;2;1;23;3.91872e+07;1000;3.91835e+07;1000;3.91861e+07;1000;3.91862e+07;1000;3.91821e+07;1000
0;2;1;24;3.74042e+07;1000;3.74051e+07;1000;3.74074e+07;1000;3.74098e+07;1000;3.74056e+07;1000
